样本ID,H0_vec_1,H0_vec_2,H0_vec_3,H0_vec_4,H0_vec_5,H0_vec_6,H0_vec_7,H0_vec_8,H0_vec_9,H0_vec_10,H0_vec_11,H0_vec_12,H0_vec_13,H0_vec_14,H0_vec_15,H0_vec_16,H0_vec_17,H0_vec_18,H0_vec_19,H0_vec_20,H0_vec_21,H0_vec_22,H0_vec_23,H0_vec_24,H0_vec_25,H0_vec_26,H0_vec_27,H0_vec_28,H0_vec_29,H0_vec_30,H0_vec_31,H0_vec_32
324,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
325,-0.348836,-0.274729,0.724566,0.397465,-0.407319,0.546889,-0.584938,0.312619,-0.927094,-1.583475,1.052204,0.026678,0.016588,-1.01872,-0.207315,0.235273,0.268676,0.188422,-0.257779,0.471742,0.35381,-0.204472,-0.058065,-0.255633,0.772517,-0.04561,0.395329,0.180049,-0.759741,-0.415198,-0.669872,1.02929
326,-0.627336,-0.273002,0.573219,0.492819,-0.621647,0.604292,-0.3825,-0.21845,-0.354082,-1.54782,1.015548,-0.56933,-0.290679,-1.430806,0.314022,-0.039129,-0.082524,0.893009,-0.210186,-0.389604,0.25548,-0.732754,0.369785,-0.298343,0.675373,-0.436755,0.036118,-0.169347,-0.36596,-0.729434,-0.26073,1.346227
327,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
328,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
329,-0.677083,-0.288905,0.090136,0.301259,-0.184791,0.074824,-0.213153,0.861164,0.019192,-1.383449,0.132774,0.203095,-0.356913,-0.008315,-0.472852,-0.021082,0.79994,0.416235,0.207606,0.627169,-0.153056,-0.345193,1.111665,0.374078,0.984738,0.420482,-0.462815,0.579235,-1.15601,-0.767765,-0.591926,1.797447
330,-0.593476,-0.0058,0.402245,0.502843,-0.844761,0.767109,-0.450491,0.027315,-0.109483,-1.471869,0.601835,-0.648531,-1.085437,-0.434796,-0.15081,-0.85818,0.557124,0.662247,-0.209973,0.167236,-0.521276,-0.189789,0.762641,-0.047433,1.352573,0.236159,-0.914474,0.497675,-1.385963,-1.303653,0.225576,1.598915
331,-0.154777,-0.874319,0.433756,0.014071,0.675532,-0.425717,0.39288,1.746147,0.14683,-0.431682,-0.356683,-0.936006,0.954181,0.801499,-0.548245,-0.760953,0.274596,0.615427,-0.127943,-0.332743,-1.162896,-0.457372,0.908412,0.463469,0.330884,0.692413,-0.359337,0.814907,-1.447819,-0.53394,-0.770278,0.986603
332,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
333,-0.355539,-0.052661,0.833388,0.688173,-0.485511,0.401763,-0.367371,0.208037,-0.278971,-0.824199,0.658671,-0.997548,0.402633,-0.668551,-0.064311,0.319803,0.295197,0.280766,-0.675373,-0.239306,-0.439676,-0.811922,0.615587,-0.427311,0.918109,0.043687,0.170794,-0.009591,-0.791834,-0.820897,-0.722945,0.685095
334,-0.094385,-0.345368,1.005199,0.544579,-0.05535,0.151493,-0.064355,0.650528,-0.215152,-0.348316,0.413942,-1.567099,1.05818,-0.263644,-0.102008,-0.050133,0.032525,0.380362,-0.843148,-0.719262,-0.944597,-0.868011,0.51396,-0.382615,0.591182,0.179652,0.222533,0.108244,-0.937738,-0.703984,-0.812121,0.279673
335,-0.510271,-0.019889,-0.758734,-0.022155,-0.296276,0.333449,-0.737812,-0.612511,-0.286194,-0.948155,0.357388,0.264249,-1.3334,-0.271787,-0.421594,0.768889,0.854253,0.113303,-0.037594,1.34917,1.217415,-0.236478,1.065129,0.017782,1.484489,0.140345,-0.323626,-0.726914,-0.622054,-1.479513,-0.553857,1.468965
336,-0.336169,-0.215027,-0.644194,-0.117884,-0.009502,0.166602,-0.535801,-0.317517,-0.243648,-0.630899,0.194235,-0.115451,-0.896368,-0.001849,-0.446726,0.522266,0.679138,0.1797,-0.149444,1.0292,0.880802,-0.273871,0.997378,0.047579,1.266538,0.230989,-0.289134,-0.648357,-0.719324,-1.401571,-0.613308,1.198684
337,-1.393647,-1.355963,0.143677,1.138085,-0.820501,0.532046,-0.520665,0.455122,0.258111,-1.797868,-0.390262,-0.981371,-1.661203,-0.382642,0.236029,-1.008177,0.25099,0.62353,-0.752087,-0.421652,0.059218,-0.025999,1.730477,1.394591,1.235586,1.097959,0.341007,0.827138,0.148245,-0.90738,-1.062923,2.724576
338,-1.132493,-1.64867,0.315488,0.994491,-0.39034,0.281775,-0.217648,0.897613,0.32193,-1.321985,-0.634991,-1.550922,-1.005656,0.022265,0.198332,-1.378112,-0.011682,0.723126,-0.919862,-0.901608,-0.445702,-0.082089,1.62885,1.439287,0.908658,1.233924,0.392746,0.944973,0.00234,-0.790468,-1.1521,2.319154
339,-0.368692,-0.579056,0.536317,0.802795,0.214873,0.468583,-0.330793,0.583031,-0.521049,-1.341554,0.229596,0.20862,-0.321983,-0.333543,-0.073707,0.896257,0.480731,0.803662,0.165388,0.349205,0.389095,-0.398629,0.909356,0.547592,0.115848,0.348265,0.323429,-0.117635,-0.860449,-0.087351,-0.621697,1.443267
340,-0.185795,-0.425791,0.835101,0.632462,0.777216,0.236313,0.357691,0.985561,0.131096,-0.369154,-0.007113,-1.453979,1.544108,0.093941,-0.472451,-0.789779,-0.038955,0.472039,-0.789138,-0.948917,-0.75944,-0.706099,0.797163,0.264747,0.045478,0.719782,-0.774337,0.484447,-1.575165,-0.188334,-0.513832,0.260396
341,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
342,-0.348836,-0.274729,0.724566,0.397465,-0.407319,0.546889,-0.584938,0.312619,-0.927094,-1.583475,1.052204,0.026678,0.016588,-1.01872,-0.207315,0.235273,0.268676,0.188422,-0.257779,0.471742,0.35381,-0.204472,-0.058065,-0.255633,0.772517,-0.04561,0.395329,0.180049,-0.759741,-0.415198,-0.669872,1.02929
343,-0.627336,-0.273002,0.573219,0.492819,-0.621647,0.604292,-0.3825,-0.21845,-0.354082,-1.54782,1.015548,-0.56933,-0.290679,-1.430806,0.314022,-0.039129,-0.082524,0.893009,-0.210186,-0.389604,0.25548,-0.732754,0.369785,-0.298343,0.675373,-0.436755,0.036118,-0.169347,-0.36596,-0.729434,-0.26073,1.346227
344,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
345,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
346,-0.677083,-0.288905,0.090136,0.301259,-0.184791,0.074824,-0.213153,0.861164,0.019192,-1.383449,0.132774,0.203095,-0.356913,-0.008315,-0.472852,-0.021082,0.79994,0.416235,0.207606,0.627169,-0.153056,-0.345193,1.111665,0.374078,0.984738,0.420482,-0.462815,0.579235,-1.15601,-0.767765,-0.591926,1.797447
347,-0.593476,-0.0058,0.402245,0.502843,-0.844761,0.767109,-0.450491,0.027315,-0.109483,-1.471869,0.601835,-0.648531,-1.085437,-0.434796,-0.15081,-0.85818,0.557124,0.662247,-0.209973,0.167236,-0.521276,-0.189789,0.762641,-0.047433,1.352573,0.236159,-0.914474,0.497675,-1.385963,-1.303653,0.225576,1.598915
348,-0.154777,-0.874319,0.433756,0.014071,0.675532,-0.425717,0.39288,1.746147,0.14683,-0.431682,-0.356683,-0.936006,0.954181,0.801499,-0.548245,-0.760953,0.274596,0.615427,-0.127943,-0.332743,-1.162896,-0.457372,0.908412,0.463469,0.330884,0.692413,-0.359337,0.814907,-1.447819,-0.53394,-0.770278,0.986603
349,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
350,-0.355539,-0.052661,0.833388,0.688173,-0.485511,0.401763,-0.367371,0.208037,-0.278971,-0.824199,0.658671,-0.997548,0.402633,-0.668551,-0.064311,0.319803,0.295197,0.280766,-0.675373,-0.239306,-0.439676,-0.811922,0.615587,-0.427311,0.918109,0.043687,0.170794,-0.009591,-0.791834,-0.820897,-0.722945,0.685095
351,-0.094385,-0.345368,1.005199,0.544579,-0.05535,0.151493,-0.064355,0.650528,-0.215152,-0.348316,0.413942,-1.567099,1.05818,-0.263644,-0.102008,-0.050133,0.032525,0.380362,-0.843148,-0.719262,-0.944597,-0.868011,0.51396,-0.382615,0.591182,0.179652,0.222533,0.108244,-0.937738,-0.703984,-0.812121,0.279673
352,-0.510271,-0.019889,-0.758734,-0.022155,-0.296276,0.333449,-0.737812,-0.612511,-0.286194,-0.948155,0.357388,0.264249,-1.3334,-0.271787,-0.421594,0.768889,0.854253,0.113303,-0.037594,1.34917,1.217415,-0.236478,1.065129,0.017782,1.484489,0.140345,-0.323626,-0.726914,-0.622054,-1.479513,-0.553857,1.468965
353,-0.336169,-0.215027,-0.644194,-0.117884,-0.009502,0.166602,-0.535801,-0.317517,-0.243648,-0.630899,0.194235,-0.115451,-0.896368,-0.001849,-0.446726,0.522266,0.679138,0.1797,-0.149444,1.0292,0.880802,-0.273871,0.997378,0.047579,1.266538,0.230989,-0.289134,-0.648357,-0.719324,-1.401571,-0.613308,1.198684
354,-1.393647,-1.355963,0.143677,1.138085,-0.820501,0.532046,-0.520665,0.455122,0.258111,-1.797868,-0.390262,-0.981371,-1.661203,-0.382642,0.236029,-1.008177,0.25099,0.62353,-0.752087,-0.421652,0.059218,-0.025999,1.730477,1.394591,1.235586,1.097959,0.341007,0.827138,0.148245,-0.90738,-1.062923,2.724576
355,-1.132493,-1.64867,0.315488,0.994491,-0.39034,0.281775,-0.217648,0.897613,0.32193,-1.321985,-0.634991,-1.550922,-1.005656,0.022265,0.198332,-1.378112,-0.011682,0.723126,-0.919862,-0.901608,-0.445702,-0.082089,1.62885,1.439287,0.908658,1.233924,0.392746,0.944973,0.00234,-0.790468,-1.1521,2.319154
356,-0.368692,-0.579056,0.536317,0.802795,0.214873,0.468583,-0.330793,0.583031,-0.521049,-1.341554,0.229596,0.20862,-0.321983,-0.333543,-0.073707,0.896257,0.480731,0.803662,0.165388,0.349205,0.389095,-0.398629,0.909356,0.547592,0.115848,0.348265,0.323429,-0.117635,-0.860449,-0.087351,-0.621697,1.443267
357,-0.185795,-0.425791,0.835101,0.632462,0.777216,0.236313,0.357691,0.985561,0.131096,-0.369154,-0.007113,-1.453979,1.544108,0.093941,-0.472451,-0.789779,-0.038955,0.472039,-0.789138,-0.948917,-0.75944,-0.706099,0.797163,0.264747,0.045478,0.719782,-0.774337,0.484447,-1.575165,-0.188334,-0.513832,0.260396
358,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
359,-0.348836,-0.274729,0.724566,0.397465,-0.407319,0.546889,-0.584938,0.312619,-0.927094,-1.583475,1.052204,0.026678,0.016588,-1.01872,-0.207315,0.235273,0.268676,0.188422,-0.257779,0.471742,0.35381,-0.204472,-0.058065,-0.255633,0.772517,-0.04561,0.395329,0.180049,-0.759741,-0.415198,-0.669872,1.02929
360,-0.627336,-0.273002,0.573219,0.492819,-0.621647,0.604292,-0.3825,-0.21845,-0.354082,-1.54782,1.015548,-0.56933,-0.290679,-1.430806,0.314022,-0.039129,-0.082524,0.893009,-0.210186,-0.389604,0.25548,-0.732754,0.369785,-0.298343,0.675373,-0.436755,0.036118,-0.169347,-0.36596,-0.729434,-0.26073,1.346227
361,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
362,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
363,-0.677083,-0.288905,0.090136,0.301259,-0.184791,0.074824,-0.213153,0.861164,0.019192,-1.383449,0.132774,0.203095,-0.356913,-0.008315,-0.472852,-0.021082,0.79994,0.416235,0.207606,0.627169,-0.153056,-0.345193,1.111665,0.374078,0.984738,0.420482,-0.462815,0.579235,-1.15601,-0.767765,-0.591926,1.797447
364,-0.593476,-0.0058,0.402245,0.502843,-0.844761,0.767109,-0.450491,0.027315,-0.109483,-1.471869,0.601835,-0.648531,-1.085437,-0.434796,-0.15081,-0.85818,0.557124,0.662247,-0.209973,0.167236,-0.521276,-0.189789,0.762641,-0.047433,1.352573,0.236159,-0.914474,0.497675,-1.385963,-1.303653,0.225576,1.598915
365,-0.154777,-0.874319,0.433756,0.014071,0.675532,-0.425717,0.39288,1.746147,0.14683,-0.431682,-0.356683,-0.936006,0.954181,0.801499,-0.548245,-0.760953,0.274596,0.615427,-0.127943,-0.332743,-1.162896,-0.457372,0.908412,0.463469,0.330884,0.692413,-0.359337,0.814907,-1.447819,-0.53394,-0.770278,0.986603
366,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
367,-0.355539,-0.052661,0.833388,0.688173,-0.485511,0.401763,-0.367371,0.208037,-0.278971,-0.824199,0.658671,-0.997548,0.402633,-0.668551,-0.064311,0.319803,0.295197,0.280766,-0.675373,-0.239306,-0.439676,-0.811922,0.615587,-0.427311,0.918109,0.043687,0.170794,-0.009591,-0.791834,-0.820897,-0.722945,0.685095
368,-0.094385,-0.345368,1.005199,0.544579,-0.05535,0.151493,-0.064355,0.650528,-0.215152,-0.348316,0.413942,-1.567099,1.05818,-0.263644,-0.102008,-0.050133,0.032525,0.380362,-0.843148,-0.719262,-0.944597,-0.868011,0.51396,-0.382615,0.591182,0.179652,0.222533,0.108244,-0.937738,-0.703984,-0.812121,0.279673
369,-0.510271,-0.019889,-0.758734,-0.022155,-0.296276,0.333449,-0.737812,-0.612511,-0.286194,-0.948155,0.357388,0.264249,-1.3334,-0.271787,-0.421594,0.768889,0.854253,0.113303,-0.037594,1.34917,1.217415,-0.236478,1.065129,0.017782,1.484489,0.140345,-0.323626,-0.726914,-0.622054,-1.479513,-0.553857,1.468965
370,-0.336169,-0.215027,-0.644194,-0.117884,-0.009502,0.166602,-0.535801,-0.317517,-0.243648,-0.630899,0.194235,-0.115451,-0.896368,-0.001849,-0.446726,0.522266,0.679138,0.1797,-0.149444,1.0292,0.880802,-0.273871,0.997378,0.047579,1.266538,0.230989,-0.289134,-0.648357,-0.719324,-1.401571,-0.613308,1.198684
371,-1.393647,-1.355963,0.143677,1.138085,-0.820501,0.532046,-0.520665,0.455122,0.258111,-1.797868,-0.390262,-0.981371,-1.661203,-0.382642,0.236029,-1.008177,0.25099,0.62353,-0.752087,-0.421652,0.059218,-0.025999,1.730477,1.394591,1.235586,1.097959,0.341007,0.827138,0.148245,-0.90738,-1.062923,2.724576
372,-1.132493,-1.64867,0.315488,0.994491,-0.39034,0.281775,-0.217648,0.897613,0.32193,-1.321985,-0.634991,-1.550922,-1.005656,0.022265,0.198332,-1.378112,-0.011682,0.723126,-0.919862,-0.901608,-0.445702,-0.082089,1.62885,1.439287,0.908658,1.233924,0.392746,0.944973,0.00234,-0.790468,-1.1521,2.319154
373,-0.368692,-0.579056,0.536317,0.802795,0.214873,0.468583,-0.330793,0.583031,-0.521049,-1.341554,0.229596,0.20862,-0.321983,-0.333543,-0.073707,0.896257,0.480731,0.803662,0.165388,0.349205,0.389095,-0.398629,0.909356,0.547592,0.115848,0.348265,0.323429,-0.117635,-0.860449,-0.087351,-0.621697,1.443267
374,-0.185795,-0.425791,0.835101,0.632462,0.777216,0.236313,0.357691,0.985561,0.131096,-0.369154,-0.007113,-1.453979,1.544108,0.093941,-0.472451,-0.789779,-0.038955,0.472039,-0.789138,-0.948917,-0.75944,-0.706099,0.797163,0.264747,0.045478,0.719782,-0.774337,0.484447,-1.575165,-0.188334,-0.513832,0.260396
375,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
376,-0.348836,-0.274729,0.724566,0.397465,-0.407319,0.546889,-0.584938,0.312619,-0.927094,-1.583475,1.052204,0.026678,0.016588,-1.01872,-0.207315,0.235273,0.268676,0.188422,-0.257779,0.471742,0.35381,-0.204472,-0.058065,-0.255633,0.772517,-0.04561,0.395329,0.180049,-0.759741,-0.415198,-0.669872,1.02929
377,-0.627336,-0.273002,0.573219,0.492819,-0.621647,0.604292,-0.3825,-0.21845,-0.354082,-1.54782,1.015548,-0.56933,-0.290679,-1.430806,0.314022,-0.039129,-0.082524,0.893009,-0.210186,-0.389604,0.25548,-0.732754,0.369785,-0.298343,0.675373,-0.436755,0.036118,-0.169347,-0.36596,-0.729434,-0.26073,1.346227
378,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
379,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
380,-0.677083,-0.288905,0.090136,0.301259,-0.184791,0.074824,-0.213153,0.861164,0.019192,-1.383449,0.132774,0.203095,-0.356913,-0.008315,-0.472852,-0.021082,0.79994,0.416235,0.207606,0.627169,-0.153056,-0.345193,1.111665,0.374078,0.984738,0.420482,-0.462815,0.579235,-1.15601,-0.767765,-0.591926,1.797447
381,-0.593476,-0.0058,0.402245,0.502843,-0.844761,0.767109,-0.450491,0.027315,-0.109483,-1.471869,0.601835,-0.648531,-1.085437,-0.434796,-0.15081,-0.85818,0.557124,0.662247,-0.209973,0.167236,-0.521276,-0.189789,0.762641,-0.047433,1.352573,0.236159,-0.914474,0.497675,-1.385963,-1.303653,0.225576,1.598915
382,-0.154777,-0.874319,0.433756,0.014071,0.675532,-0.425717,0.39288,1.746147,0.14683,-0.431682,-0.356683,-0.936006,0.954181,0.801499,-0.548245,-0.760953,0.274596,0.615427,-0.127943,-0.332743,-1.162896,-0.457372,0.908412,0.463469,0.330884,0.692413,-0.359337,0.814907,-1.447819,-0.53394,-0.770278,0.986603
383,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
384,-0.355539,-0.052661,0.833388,0.688173,-0.485511,0.401763,-0.367371,0.208037,-0.278971,-0.824199,0.658671,-0.997548,0.402633,-0.668551,-0.064311,0.319803,0.295197,0.280766,-0.675373,-0.239306,-0.439676,-0.811922,0.615587,-0.427311,0.918109,0.043687,0.170794,-0.009591,-0.791834,-0.820897,-0.722945,0.685095
385,-0.094385,-0.345368,1.005199,0.544579,-0.05535,0.151493,-0.064355,0.650528,-0.215152,-0.348316,0.413942,-1.567099,1.05818,-0.263644,-0.102008,-0.050133,0.032525,0.380362,-0.843148,-0.719262,-0.944597,-0.868011,0.51396,-0.382615,0.591182,0.179652,0.222533,0.108244,-0.937738,-0.703984,-0.812121,0.279673
386,-0.510271,-0.019889,-0.758734,-0.022155,-0.296276,0.333449,-0.737812,-0.612511,-0.286194,-0.948155,0.357388,0.264249,-1.3334,-0.271787,-0.421594,0.768889,0.854253,0.113303,-0.037594,1.34917,1.217415,-0.236478,1.065129,0.017782,1.484489,0.140345,-0.323626,-0.726914,-0.622054,-1.479513,-0.553857,1.468965
387,-0.336169,-0.215027,-0.644194,-0.117884,-0.009502,0.166602,-0.535801,-0.317517,-0.243648,-0.630899,0.194235,-0.115451,-0.896368,-0.001849,-0.446726,0.522266,0.679138,0.1797,-0.149444,1.0292,0.880802,-0.273871,0.997378,0.047579,1.266538,0.230989,-0.289134,-0.648357,-0.719324,-1.401571,-0.613308,1.198684
388,-1.393647,-1.355963,0.143677,1.138085,-0.820501,0.532046,-0.520665,0.455122,0.258111,-1.797868,-0.390262,-0.981371,-1.661203,-0.382642,0.236029,-1.008177,0.25099,0.62353,-0.752087,-0.421652,0.059218,-0.025999,1.730477,1.394591,1.235586,1.097959,0.341007,0.827138,0.148245,-0.90738,-1.062923,2.724576
389,-1.132493,-1.64867,0.315488,0.994491,-0.39034,0.281775,-0.217648,0.897613,0.32193,-1.321985,-0.634991,-1.550922,-1.005656,0.022265,0.198332,-1.378112,-0.011682,0.723126,-0.919862,-0.901608,-0.445702,-0.082089,1.62885,1.439287,0.908658,1.233924,0.392746,0.944973,0.00234,-0.790468,-1.1521,2.319154
390,-0.368692,-0.579056,0.536317,0.802795,0.214873,0.468583,-0.330793,0.583031,-0.521049,-1.341554,0.229596,0.20862,-0.321983,-0.333543,-0.073707,0.896257,0.480731,0.803662,0.165388,0.349205,0.389095,-0.398629,0.909356,0.547592,0.115848,0.348265,0.323429,-0.117635,-0.860449,-0.087351,-0.621697,1.443267
391,-0.185795,-0.425791,0.835101,0.632462,0.777216,0.236313,0.357691,0.985561,0.131096,-0.369154,-0.007113,-1.453979,1.544108,0.093941,-0.472451,-0.789779,-0.038955,0.472039,-0.789138,-0.948917,-0.75944,-0.706099,0.797163,0.264747,0.045478,0.719782,-0.774337,0.484447,-1.575165,-0.188334,-0.513832,0.260396
392,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
393,-0.348836,-0.274729,0.724566,0.397465,-0.407319,0.546889,-0.584938,0.312619,-0.927094,-1.583475,1.052204,0.026678,0.016588,-1.01872,-0.207315,0.235273,0.268676,0.188422,-0.257779,0.471742,0.35381,-0.204472,-0.058065,-0.255633,0.772517,-0.04561,0.395329,0.180049,-0.759741,-0.415198,-0.669872,1.02929
394,-0.627336,-0.273002,0.573219,0.492819,-0.621647,0.604292,-0.3825,-0.21845,-0.354082,-1.54782,1.015548,-0.56933,-0.290679,-1.430806,0.314022,-0.039129,-0.082524,0.893009,-0.210186,-0.389604,0.25548,-0.732754,0.369785,-0.298343,0.675373,-0.436755,0.036118,-0.169347,-0.36596,-0.729434,-0.26073,1.346227
395,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
396,-0.616692,0.240046,0.661578,0.831767,-0.915672,0.652034,-0.670388,-0.234455,-0.34279,-1.300083,0.9034,-0.427997,-0.252915,-1.073458,-0.026615,0.689738,0.557869,0.18117,-0.507598,0.24065,0.065244,-0.755832,0.717214,-0.472007,1.245036,-0.092279,0.119055,-0.127427,-0.645929,-0.937809,-0.633768,1.090518
397,-0.677083,-0.288905,0.090136,0.301259,-0.184791,0.074824,-0.213153,0.861164,0.019192,-1.383449,0.132774,0.203095,-0.356913,-0.008315,-0.472852,-0.021082,0.79994,0.416235,0.207606,0.627169,-0.153056,-0.345193,1.111665,0.374078,0.984738,0.420482,-0.462815,0.579235,-1.15601,-0.767765,-0.591926,1.797447
398,-0.593476,-0.0058,0.402245,0.502843,-0.844761,0.767109,-0.450491,0.027315,-0.109483,-1.471869,0.601835,-0.648531,-1.085437,-0.434796,-0.15081,-0.85818,0.557124,0.662247,-0.209973,0.167236,-0.521276,-0.189789,0.762641,-0.047433,1.352573,0.236159,-0.914474,0.497675,-1.385963,-1.303653,0.225576,1.598915
399,-0.154777,-0.874319,0.433756,0.014071,0.675532,-0.425717,0.39288,1.746147,0.14683,-0.431682,-0.356683,-0.936006,0.954181,0.801499,-0.548245,-0.760953,0.274596,0.615427,-0.127943,-0.332743,-1.162896,-0.457372,0.908412,0.463469,0.330884,0.692413,-0.359337,0.814907,-1.447819,-0.53394,-0.770278,0.986603
